ID,Match,Goal,Assist,Apoint,PlayingTime,YellowCard,Salary,Age,Period,FormerPlayer
ANAM101,22,9,7,16,32.2,0,68000000,24,3,O
ANAM102,22,18,17,35,34.4,3,49000000,23,2,X
ANAM103,24,3,3,6,32.3,1,77000000,38,2,X
ANAM104,30,14,19,33,32.5,7,83000000,45,3.5,O
ANAM105,21,20,18,38,44.8,3,34000000,35,3,O
ANAM106,20,4,19,23,45.5,0,30000000,44,2,X
ANAM107,25,16,0,16,52.3,6,76000000,44,1,X
ANAM108,21,11,7,18,43.7,7,43000000,24,1.5,O
ANAM109,,20,5,25,35.4,1,41000000,41,3,O
ANAM110,27,1,12,13,68.8,5,71000000,28,3,O
ANAM111,20,20,17,37,69.4,3,63000000,43,2,O
ANAM112,23,12,7,19,44.3,6,34000000,43,1.5,O
ANAM113,30,6,16,22,57,1,50000000,44,1.5,X
ANAM114,24,11,18,29,62,7,86000000,36,3,X
ANAM115,22,5,8,13,61.7,1,,47,3,X
ANAM116,23,3,10,13,62.1,6,50000000,40,2,X
ANAM117,23,0,0,0,52.7,3,69000000,29,2,X
ANAM118,27,6,1,7,42.6,6,52000000,36,2,X
ANAM201,14,2,2,4,22.6,0,33000000,33,3.5,X
ANAM202,14,0,11,11,29.7,0,41000000,24,2.5,X
ANAM203,2,4,8,12,26.2,1,51000000,26,1.5,O
ANAM204,1,4,10,14,29.9,0,49000000,30,1,X
ANAM205,5,8,12,20,27.7,0,48000000,27,2.5,X
ANAM206,6,9,9,18,33.1,1,48000000,42,1,
ANAM207,13,3,10,13,38.2,1,45000000,43,2,X
ANAM208,10,5,5,10,24.3,1,29000000,24,1,X
ANAM209,6,0,3,3,35.8,0,41000000,43,2,X
ANAM210,5,0,11,11,23.9,0,34000000,36,3.5,O
ANAM211,7,2,11,13,16.3,4,37000000,31,2,X
ANAM212,8,3,3,6,25.9,0,45000000,38,3,X
ANAM213,15,1,2,3,23.1,2,47000000,45,1.5,X
ANAM214,9,5,0,5,31.3,1,55000000,43,3,X
ANAM215,5,5,3,8,27.2,2,29000000,23,2,X
ANAM216,10,3,1,4,35.5,3,53000000,24,2.5,X
ANAM217,4,6,2,8,24.7,2,44000000,31,3.5,O
ANAM218,0,0,8,8,23.4,1,29000000,29,2,O
